 24COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xE0, 0x1C, 0x00, 0x00, 0x00, 0x0
 25COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x60, 0x1C, 0x00, 0x00, 0x00, 0x0
 26COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xA0, 0x1C, 0x00, 0x00, 0x00, 0x0
 27COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x20, 0x1C, 0x00, 0x00, 0x00, 0x0
 28COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xC0, 0x1C, 0x00, 0x00, 0x00, 0x0
 29COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x40, 0x1C, 0x00, 0x00, 0x00, 0x0
 30COOL       AUTO    ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x80, 0x1C, 0x00, 0x00, 0x00, 0x0
 16COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xF0, 0x5C, 0x00, 0x00, 0x00, 0x0
 17COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x70, 0x5C, 0x00, 0x00, 0x00, 0x0
 18COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xB0, 0x5C, 0x00, 0x00, 0x00, 0x0
 19COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x30, 0x5C, 0x00, 0x00, 0x00, 0x0
 20COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xD0, 0x5C, 0x00, 0x00, 0x00, 0x0
 21COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x50, 0x5C, 0x00, 0x00, 0x00, 0x0
 22COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x90, 0x5C, 0x00, 0x00, 0x00, 0x0
 23COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x10, 0x5C, 0x00, 0x00, 0x00, 0x0
 24COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xE0, 0x5C, 0x00, 0x00, 0x00, 0x0
 25COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x60, 0x5C, 0x00, 0x00, 0x00, 0x0
 26COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xA0, 0x5C, 0x00, 0x00, 0x00, 0x0
 27COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x20, 0x5C, 0x00, 0x00, 0x00, 0x0
 28COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xC0, 0x5C, 0x00, 0x00, 0x00, 0x0
 29COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x40, 0x5C, 0x00, 0x00, 0x00, 0x0
 30COOL       LOW     ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0x80, 0x5C, 0x00, 0x00, 0x00, 0x0
 16COOL       MEDIUM  ON   0x64, 0x80, 0x00, 0x26, 0xC0, 0xF0, 0xDC, 0x00, 0x00, 0x00, 0x0
